"","X","Company_Name","Dependent.Company.Status","Age.of.company.in.years","Internet.Activity.Score","Has.the.team.size.grown","Number.of.Investors.in.Seed","Number.of.Investors.in.Angel.and.or.VC","Number.of.Co.founders","Number.of.of.advisors","Team.size.Senior.leadership","Team.size.all.employees","Number.of.of.repeat.investors","Number.of..Sales.Support.material","Worked.in.top.companies","Average.size.of.companies.worked.for.in.the.past","Have.been.part.of.startups.in.the.past.","Have.been.part.of.successful.startups.in.the.past.","Was.he.or.she.partner.in.Big.5.consulting.","Consulting.experience.","Product.or.service.company.","Catering.to.product.service.across.verticals","Focus.on.private.or.public.data.","Focus.on.consumer.data.","Focus.on.structured.or.unstructured.data","Subscription.based.business","Cloud.or.platform.based.serive.product.","Local.or.global.player","Linear.or.Non.linear.business.model","Capital.intensive.business.e.g..e.commerce..Engineering.products.and.operations.can.also.cause.a.business.to.be.capital.intensive","Crowdsourcing.based.business","Crowdfunding.based.business","Machine.Learning.based.business","Predictive.Analytics.business","Speech.analytics.business","Prescriptive.analytics.business","Big.Data.Business","Cross.Channel.Analytics..marketing.channels","Owns.data.or.not...monetization.of.data..e.g..Factual","Is.the.company.an.aggregator.market.place..e.g..Bluekai","Online.or.offline.venture...physical.location.based.business.or.online.venture.","B2C.or.B2B.venture.","Barriers.of.entry.for.the.competitors","Percent_skill_Entrepreneurship","Percent_skill_Operations","Percent_skill_Engineering","Percent_skill_Marketing","Percent_skill_Leadership","Percent_skill_Data.Science","Percent_skill_Business.Strategy","Percent_skill_Product.Management","Percent_skill_Sales","Percent_skill_Domain","Percent_skill_Law","Percent_skill_Consulting","Percent_skill_Finance","Percent_skill_Investment","Renown.score","Is_marketing","Is_analytics","Is_e_commerce","Is_telco","Is_software","Is_advertising","Is_entertainment","Is_retail","Is_energy","Is_healthcare","Is_education","Is_HR","Is_finance","Is_transport","Is_real_estate","important_investors"
"291",291,"company291","failed",5,115,"no",1,0,3,1,3,10,0,"nothing","no","medium","yes","yes","no","yes","service","no","no","no","no","no","platform","local","linear","no","no","no","no","no","no","no","no","no","no","no","offline","b2b","no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"292",292,"company292","failed",2,-84,"no",0,0,3,2,2,22,0,"nothing","no","medium","yes","yes","no","yes","service","no","no","no","no","no","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","yes","online","b2c","no",6.666666667,13.33333333,0,0,20,6.666666667,33.33333333,6.666666667,0,0,0,6.666666667,6.666666667,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"293",293,"company293","failed",3,-13,"no",1,0,2,0,2,10,0,"low","no","large","no","no","no","yes","service","no","no","no","no","no","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2c","no",9.090909091,4.545454545,4.545454545,0,0,0,22.72727273,4.545454545,0,4.545454545,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"294",294,"company294","failed",7,-4,"no",0,1,1,0,1,1,0,"low","no","large","yes","no","no","yes","service","no","no","no","no","no","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2b","no",25,0,0,50,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"297",297,"company297","failed",6,15,"no",1,0,1,1,2,22,0,"nothing","no","medium","yes","yes","no","yes","product","no","no","no","no","no","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","yes","online","b2c","no",2.777777778,2.777777778,36.11111111,0,0,0,8.333333333,0,0,0,0,0,0,0,11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"298",298,"company298","failed",5,-8,"no",0,2,2,0,3,4,0,"nothing","no","large","yes","yes","no","yes","service","no","no","no","no","no","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","yes","online","b2b","no",11.76470588,0,5.882352941,52.94117647,0,0,23.52941176,5.882352941,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"299",299,"company299","success",3,13,"no",1,0,2,0,2,10,0,"low","no","large","yes","yes","no","yes","product","no","no","no","no","no","platform","local","non-linear","yes","no","no","no","no","no","no","no","no","no","yes","online","b2c","no",0,0,55.20833333,16.66666667,0,0,11.45833333,8.333333333,8.333333333,0,0,0,0,0,8,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"300",300,"company300","success",4,-309,"no",1,0,2,0,2,10,0,"medium","no","small","yes","yes","no","yes","service","yes","public","no","unstructured","yes","both","global","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2b","no",6.25,0,75,0,0,0,12.5,6.25,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"302",302,"company302","success",3,76,"no",1,0,7,0,3,2,1,"medium","no","small","yes","yes","no","no","service","yes","public","no","both","yes","both","global","linear","yes","no","yes","yes","no","no","no","yes","no","no","no","online","b2c","no",7.407407407,0,25.92592593,30.48433048,1.851851852,1.851851852,12.53561254,0,6.98005698,1.851851852,0,0,7.407407407,3.703703704,8,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"304",304,"company304","success",5,-45,"no",1,0,3,1,5,3,0,"low","no","medium","yes","yes","no","yes","service","yes","public","no","unstructured","yes","both","global","linear","no","no","yes","no","no","no","no","no","no","no","no","online","b2b","no",16.66666667,5.555555556,0,5.555555556,5.555555556,11.11111111,11.11111111,0,11.11111111,5.555555556,5.555555556,0,11.11111111,11.11111111,2,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"306",306,"company306","success",4,-375,"yes",4,0,4,3,8,10,4,"low","no","small","yes","yes","no","no","service","no","public","no","structured","yes","platform","local","linear","no","no","yes","yes","no","yes","no","no","no","yes","no","online","b2c","no",2.777777778,3.571428571,54.36507937,5.555555556,0,7.142857143,2.777777778,21.03174603,2.777777778,0,0,0,0,0,7,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"307",307,"company307","success",7,13,"no",1,0,4,0,7,50,0,"medium","yes","medium","yes","yes","no","no","service","no","public","no","structured","yes","both","global","linear","no","no","yes","yes","no","no","no","yes","no","no","no","online","b2b","no",0,0,3.333333333,9.583333333,0,29.16666667,18.75,0,6.25,16.25,0,0,16.66666667,0,5,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"308",308,"company308","success",4,-16,"no",0,2,2,0,4,15,1,"medium","no","medium","yes","yes","no","no","product","no","public","no","structured","yes","both","global","non-linear","yes","no","yes","yes","no","no","yes","yes","no","yes","no","online","b2b","no",0,0,0,72.22222222,0,16.66666667,5.555555556,0,0,5.555555556,0,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"309",309,"company309","success",3,272,"yes",10,8,3,0,8,50,0,"medium","no","medium","yes","yes","no","yes","service","yes","public","yes","structured","yes","both","global","non-linear","no","no","no","no","no","no","yes","yes","no","yes","no","online","b2b","no",11.76470588,0,5.882352941,23.52941176,5.882352941,11.76470588,17.64705882,5.882352941,5.882352941,0,0,0,5.882352941,5.882352941,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"311",311,"company311","success",5,110,"yes",0,1,3,1,5,50,1,"low","no","medium","yes","yes","no","no","product","yes","both","yes","both","yes","none","global","non-linear","yes","no","yes","yes","no","no","yes","yes","no","no","no","online","b2b","no",6.637989204,6.25,50.78391681,3.947368421,4.714912281,11.5022426,10.13286894,1.315789474,3.399122807,0,0,0,0,1.315789474,9,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"312",312,"company312","success",3,484,"yes",11,0,1,0,1,50,0,"low","yes","medium","yes","yes","no","yes","product","no","public","no","unstructured","yes","none","global","non-linear","yes","no","yes","no","no","no","yes","no","no","no","no","online","b2b","no",16.66666667,0,27.77777778,16.66666667,0,0,11.11111111,22.22222222,5.555555556,0,0,0,0,0,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"313",313,"company313","success",7,-136,"no",0,0,1,6,2,50,0,"low","no","medium","yes","yes","no","yes","product","no","public","no","structured","yes","both","global","linear","no","no","no","no","yes","no","yes","yes","no","no","no","online","b2b","no",11.11111111,5.555555556,0,33.33333333,0,5.555555556,22.22222222,5.555555556,0,5.555555556,0,0,0,11.11111111,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"314",314,"company314","success",9,75,"no",0,0,2,0,4,22,1,"low","no","medium","yes","yes","no","no","service","yes","both","no","both","yes","none","local","non-linear","no","no","yes","yes","no","yes","yes","yes","no","no","no","online","b2b","no",6.666666667,18.18181818,11.21212121,11.21212121,0,16.66666667,16.96969697,3.333333333,4.545454545,11.21212121,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"315",315,"company315","success",9,-14,"no",0,0,2,0,6,40,0,"low","no","small","yes","yes","no","yes","service","yes","public","no","structured","yes","both","global","non-linear","yes","no","yes","yes","no","no","yes","yes","no","no","no","online","b2b","no",11.76470588,0,41.17647059,11.76470588,0,0,17.64705882,5.882352941,5.882352941,5.882352941,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"316",316,"company316","success",4,136,"no",0,0,2,1,6,40,2,"low","yes","small","yes","yes","no","yes","service","yes","public","no","both","no","both","global","non-linear","yes","no","no","yes","yes","no","no","yes","no","yes","yes","online","b2b","no",7.142857143,0,14.28571429,0,0,0,7.142857143,7.142857143,0,14.28571429,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"322",322,"company322","success",9,-5,"no",3,0,2,2,5,30,1,"low","yes","small","yes","yes","no","no","product","yes","public","no","structured","no","none","global","non-linear","no","no","no","no","no","no","no","yes","no","no","no","online","b2b","yes",0,0,93.33333333,0,0,0,6.666666667,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"323",323,"company323","failed",6,2,"no",2,0,2,1,2,10,0,"low","no","medium","yes","yes","no","yes","service","yes","public","no","structured","no","both","local","linear","yes","no","no","no","no","no","no","no","no","no","no","offline","b2b","yes",11.11111111,16.66666667,0,0,11.11111111,5.555555556,22.22222222,5.555555556,5.555555556,0,0,0,16.66666667,5.555555556,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"324",324,"company324","success",7,702,"yes",0,0,2,0,4,5000,0,"low","no","small","yes","yes","no","yes","product","yes","no","no","no","no","platform","global","non-linear","no","no","no","no","no","no","no","no","no","no","yes","online","b2b","no",6.666666667,0,28.33333333,22.5,3.333333333,3.333333333,22.5,6.666666667,3.333333333,0,0,0,0,3.333333333,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"325",325,"company325","success",7,413,"no",0,0,1,2,11,200,0,"low","no","small","yes","yes","no","yes","product","yes","public","no","no","no","none","global","linear","no","no","yes","yes","no","no","no","yes","yes","no","yes","online","b2b","no",11.11111111,0,0,55.55555556,0,11.11111111,16.66666667,5.555555556,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"326",326,"company326","success",9,-20,"no",0,0,3,1,3,200,2,"medium","no","small","no","no","no","no","product","yes","both","no","both","no","both","global","linear","no","no","no","yes","yes","no","no","yes","no","no","no","online","b2b","no",9.090909091,0,36.36363636,9.090909091,0,0,18.18181818,9.090909091,18.18181818,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"327",327,"company327","success",5,-9,"yes",1,0,3,0,2,10,0,"low","no","large","yes","yes","no","yes","service","yes","both","no","both","no","platform","global","non-linear","no","no","no","no","no","no","no","no","no","no","yes","online","b2b","no",0,0,47.05882353,0,0,0,0,0,0,2.941176471,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"328",328,"company328","failed",5,-104,"yes",7,0,2,1,8,50,2,"low","no","small","yes","yes","no","yes","service","no","public","no","structured","yes","both","local","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2b","yes",8.333333333,0,47.22222222,2.777777778,0,2.777777778,19.44444444,5.555555556,2.777777778,2.777777778,0,0,5.555555556,2.777777778,10,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"329",329,"company329","success",5,-75,"yes",0,0,1,1,7,50,1,"low","no","small","no","no","no","yes","product","no","public","no","both","yes","both","global","non-linear","no","no","no","no","yes","no","yes","yes","no","no","no","online","b2b","yes",2.777777778,0,8.333333333,8.333333333,2.777777778,11.11111111,8.333333333,2.777777778,2.777777778,2.777777778,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"331",331,"company331","success",6,106,"no",1,4,3,1,3,50,0,"low","no","small","yes","yes","no","no","service","no","public","no","structured","yes","none","local","linear","no","no","no","yes","yes","no","no","yes","no","no","no","online","b2b","yes",2.941176471,0,29.41176471,0,2.941176471,5.882352941,5.882352941,0,0,0,0,0,0,2.941176471,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"332",332,"company332","success",7,66,"no",0,0,2,0,4,50,1,"low","no","medium","yes","yes","no","yes","service","yes","both","no","both","yes","none","global","linear","no","no","no","yes","yes","no","no","yes","no","no","no","online","b2b","yes",5.555555556,0,38.88888889,0,5.555555556,11.11111111,16.66666667,5.555555556,5.555555556,11.11111111,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"333",333,"company333","failed",4,-1,"no",1,0,1,0,1,10,1,"low","no","small","yes","yes","no","yes","service","yes","public","no","both","yes","both","global","linear","no","no","no","no","no","yes","no","no","no","no","no","online","b2b","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"334",334,"company334","success",2,-6,"no",1,0,1,0,3,10,1,"medium","yes","large","yes","yes","no","yes","service","yes","public","no","both","yes","none","global","linear","no","no","no","yes","yes","no","no","yes","no","no","no","online","b2b","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"335",335,"company335","success",4,667,"no",6,0,2,0,6,22,1,"low","no","medium","yes","yes","no","yes","product","no","public","no","structured","yes","none","global","non-linear","no","no","no","yes","no","no","no","no","no","no","no","online","b2b","no",0,0,75,0,0,0,0,25,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"338",338,"company338","failed",8,-18,"no",2,0,2,0,2,10,0,"low","no","small","yes","yes","no","no","product","yes","private","no","structured","yes","none","global","linear","yes","no","no","yes","yes","no","no","yes","yes","no","no","online","b2b","no",7.692307692,0,23.07692308,0,0,0,11.53846154,3.846153846,0,3.846153846,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"340",340,"company340","failed",4,-6,"no",0,0,1,0,1,10,1,"low","no","small","yes","yes","no","no","product","no","public","no","unstructured","yes","both","local","linear","yes","no","no","no","no","no","no","no","no","no","no","online","b2b","yes",10,0,30,10,0,10,20,20,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"342",342,"company342","success",1,64,"no",0,0,0,0,1,1,0,"nothing","yes","small","no","no","no","no","product","yes","public","no","structured","yes","none","global","linear","yes","no","no","no","yes","no","no","yes","no","no","no","online","b2c","no",0,0,5.555555556,61.11111111,5.555555556,0,5.555555556,0,16.66666667,5.555555556,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"343",343,"company343","failed",4,-33,"no",1,0,2,0,2,50,0,"low","no","small","yes","yes","no","no","product","no","public","no","unstructured","yes","both","global","linear","no","no","no","yes","yes","no","no","yes","no","no","no","online","b2c","yes",31.25,0,6.25,12.5,0,6.25,25,0,0,12.5,0,0,0,6.25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"344",344,"company344","success",2,96,"no",0,1,3,3,4,16,0,"low","no","medium","yes","yes","no","yes","product","yes","public","yes","both","yes","platform","global","non-linear","no","no","no","no","yes","no","no","yes","yes","no","no","online","b2b","yes",25,0,37.5,0,0,25,0,12.5,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"346",346,"company346","success",2,398,"yes",0,0,2,0,2,11,0,"high","no","small","yes","no","no","no","service","no","private","yes","structured","yes","platform","global","non-linear","no","no","no","no","yes","no","no","no","no","no","no","online","b2b","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"347",347,"company347","success",2,115,"no",1,0,2,0,2,13,0,"high","no","large","yes","no","yes","yes","product","no","no","no","not applicable","yes","none","global","non-linear","yes","no","no","no","no","no","no","no","no","no","yes","online","b2c","yes",17.64705882,11.76470588,0,5.882352941,23.52941176,0,11.76470588,0,17.64705882,0,0,11.76470588,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"348",348,"company348","success",4,481,"no",3,0,3,0,3,15,0,"high","no","medium","yes","no","no","yes","product","no","no","no","unstructured","no","platform","global","non-linear","yes","no","no","no","no","no","no","no","no","no","yes","online","b2b","yes",14.44444444,0,0,0,0,13.33333333,6.666666667,0,14.44444444,0,0,3.333333333,3.333333333,11.11111111,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"350",350,"company350","success",2,132,"no",1,0,3,0,3,11,0,"high","no","medium","yes","no","no","no","product","no","no","no","unstructured","yes","platform","local","non-linear","no","no","no","no","no","no","no","no","no","no","yes","online","b2c","no",1.851851852,4.074074074,20.74074074,5.925925926,4.074074074,11.11111111,5.925925926,4.074074074,2.222222222,2.222222222,0,4.444444444,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"352",352,"company352","success",4,461,"yes",1,0,1,0,5,32,0,"low","no","large","yes","yes","no","yes","product","yes","no","no","structured","no","platform","global","linear","yes","no","no","no","no","no","no","yes","no","no","no","offline","b2b","yes",11.76470588,5.882352941,0,0,5.882352941,0,5.882352941,0,11.76470588,5.882352941,0,0,47.05882353,5.882352941,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"353",353,"company353","success",3,278,"no",3,0,2,0,2,5,0,"high","no","large","yes","yes","no","yes","service","no","both","yes","structured","yes","platform","global","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2b","yes",6.25,0,9.375,3.125,3.125,3.125,6.25,3.125,0,12.5,0,0,0,3.125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"354",354,"company354","success",3,68,"no",1,0,0,1,2,30,0,"low","no","small","no","no","no","no","product","yes","both","yes","both","yes","both","global","non-linear","no","no","no","yes","yes","yes","no","yes","yes","no","yes","online","b2b","no",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"357",357,"company357","success",1,41,"no",1,0,1,0,5,10,1,"medium","no","small","no","no","no","no","service","no","private","no","unstructured","no","none","global","linear","yes","no","no","yes","yes","yes","no","yes","no","no","no","online","b2b","yes",15.83333333,8.333333333,4.166666667,33.33333333,7.5,0,15.83333333,0,3.333333333,7.5,0,0,0,4.166666667,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"358",358,"company358","success",2,398,"no",10,0,4,0,3,10,0,"medium","no","large","no","no","no","yes","service","no","public","yes","structured","no","both","global","non-linear","no","yes","no","yes","yes","no","no","yes","no","no","no","online","b2c","no",28.57142857,7.142857143,7.142857143,7.142857143,14.28571429,7.142857143,7.142857143,7.142857143,0,0,0,0,7.142857143,7.142857143,4,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1
"360",360,"company360","success",1,-20,"no",1,0,3,0,3,10,0,"low","no","small","yes","yes","no","no","service","no","public","no","structured","yes","both","global","linear","yes","no","yes","no","no","no","no","yes","no","no","no","online","b2b","yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"361",361,"company361","success",3,1,"no",1,0,2,0,2,1,0,"medium","no","small","yes","yes","no","no","product","no","public","no","structured","yes","both","global","non-linear","yes","no","yes","yes","no","no","no","yes","no","yes","yes","online","b2b","yes",5.882352941,0,88.23529412,0,0,0,5.882352941,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"362",362,"company362","success",3,-14,"no",3,0,3,0,3,10,0,"medium","no","medium","yes","no","no","no","service","no","public","no","structured","no","both","global","linear","no","no","yes","yes","yes","no","no","yes","no","no","no","online","b2c","no",0,0,44.44444444,2.777777778,0,38.88888889,2.777777778,5.555555556,0,5.555555556,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"363",363,"company363","success",2,146,"yes",2,0,2,0,3,10,2,"low","no","small","yes","yes","no","no","service","no","public","no","both","yes","both","local","linear","yes","no","no","yes","yes","yes","no","no","no","yes","no","online","b2b","no",19.04761905,0,10.22408964,11.76470588,1.960784314,1.960784314,22.96918768,5.882352941,2.380952381,0,0,0,23.80952381,0,6,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"364",364,"company364","success",4,530,"no",2,0,2,0,2,10,0,"low","yes","small","no","no","no","no","service","no","public","no","both","yes","both","local","non-linear","no","no","no","yes","yes","yes","no","no","no","no","no","online","b2c","no",11.11111111,0,5.555555556,55.55555556,5.555555556,11.11111111,5.555555556,0,5.555555556,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"365",365,"company365","success",1,297,"no",3,0,2,0,1,50,0,"low","no","small","no","no","yes","yes","service","yes","public","no","structured","yes","both","global","linear","no","no","no","yes","no","yes","no","no","yes","no","no","online","b2b","no",15,0,10,10,0,0,15,10,20,0,0,5,0,15,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"366",366,"company366","success",4,-2,"no",1,0,2,0,1,22,0,"nothing","no","small","no","no","no","no","service","yes","public","no","structured","yes","both","local","non-linear","no","no","no","no","no","no","no","no","no","no","yes","online","b2c","no",26.66666667,13.33333333,6.666666667,6.666666667,20,0,20,0,6.666666667,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"369",369,"company369","success",7,702,"yes",1,0,2,0,4,5000,0,"low","no","small","yes","yes","no","yes","product","yes","no","no","no","no","platform","global","non-linear","no","no","no","no","no","no","no","no","no","no","yes","online","b2b","no",6.666666667,0,28.33333333,22.5,3.333333333,3.333333333,22.5,6.666666667,3.333333333,0,0,0,0,3.333333333,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"372",372,"company372","success",4,154,"no",4,0,2,0,3,3,0,"nothing","no","small","yes","no","no","yes","product","no","both","yes","no","no","platform","local","non-linear","no","no","no","no","no","yes","no","no","no","no","no","online","b2b","no",15.03267974,0,7.843137255,24.18300654,0,27.58169935,10.32679739,4.183006536,2.222222222,6.666666667,0,0,0,1.960784314,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"374",374,"company374","failed",9,126,"yes",0,2,3,1,5,87,6,"high","no","small","yes","yes","no","yes","service","no","no","no","no","yes","platform","global","linear","yes","no","no","no","no","no","no","no","no","no","no","offline","b2b","yes",0,5.555555556,0,0,11.11111111,0,16.66666667,0,5.555555556,0,0,0,11.11111111,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"376",376,"company376","success",4,60,"no",0,0,0,0,4,10,0,"nothing","no","large","yes","yes","no","yes","product","no","no","no","no","no","cloud","global","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2c","yes",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"377",377,"company377","success",4,-182,"no",1,0,1,0,1,12,0,"nothing","no","small","no","no","no","yes","product","no","no","no","no","yes","platform","local","non-linear","yes","no","no","no","no","no","no","no","no","no","no","online","b2c","no",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"378",378,"company378","failed",7,0,"no",0,1,2,0,2,9,0,"nothing","no","small","yes","yes","no","yes","product","no","no","no","no","no","none","local","non-linear","no","no","no","no","no","no","no","no","no","no","no","online","b2c","no",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"379",379,"company379","success",4,61,"no",12,0,0,0,1,1,1,"nothing","no","small","yes","yes","no","yes","product","no","no","no","no","yes","none","local","linear","yes","no","no","no","no","no","no","no","no","no","no","online","b2b","no",6.25,0,11.11111111,5.555555556,0,3.829395006,8.088235294,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"380",380,"company380","success",9,1,"no",0,2,3,0,2,31,2,"nothing","no","medium","no","no","no","yes","product","no","no","no","no","yes","platform","local","linear","yes","no","no","no","no","no","no","no","no","no","no","online","b2c","no",7.142857143,0,25,0,0,0,7.142857143,7.142857143,3.571428571,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"381",381,"company381","failed",3,113,"yes",0,0,3,0,3,20,0,"nothing","no","small","no","no","no","yes","product","no","no","no","no","no","platform","global","non-linear","yes","no","no","no","no","no","no","no","no","no","no","online","b2b","no",10.52631579,5.263157895,5.263157895,0,10.52631579,0,26.31578947,15.78947368,5.263157895,10.52631579,0,5.263157895,0,5.263157895,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"382",382,"company382","failed",3,119,"yes",12,0,4,0,3,26,3,"nothing","no","small","no","no","no","no","product","no","no","no","no","no","platform","local","linear","yes","no","no","no","yes","no","yes","yes","no","no","no","online","b2b","no",15.28520499,1.960784314,16.28787879,10.04901961,0,25.4456328,12.00980392,4.166666667,1.960784314,8.912655971,0,1.960784314,0,1.960784314,6,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"383",383,"company383","failed",4,169,"yes",0,0,4,0,4,30,2,"nothing","no","medium","yes","yes","no","yes","product","no","both","no","no","no","none","local","linear","yes","no","no","no","yes","no","yes","yes","no","no","yes","online","b2b","no",6.197478992,0,1.388888889,36.44957983,2.941176471,12.90849673,18.51073763,0,9.056956116,12.54668534,0,0,0,0,7,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"384",384,"company384","failed",4,516,"yes",6,0,6,7,6,74,2,"nothing","yes","large","yes","no","no","yes","product","no","no","no","no","no","platform","global","linear","no","no","no","no","no","no","no","yes","no","no","yes","online","b2b","no",3.921568627,0,5.882352941,5.882352941,1.960784314,3.921568627,5.882352941,1.960784314,0,1.960784314,0,0,0,1.960784314,7,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"385",385,"company385","failed",3,329,"no",2,0,3,3,10,56,2,"nothing","yes","large","yes","yes","no","yes","product","no","both","yes","both","no","platform","local","linear","no","no","no","no","yes","no","yes","yes","no","no","yes","online","b2b","no",1.851851852,1.851851852,12.96296296,24.07407407,3.703703704,3.703703704,11.11111111,1.851851852,1.851851852,3.703703704,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"388",388,"company388","failed",4,367,"yes",0,0,2,0,4,28,0,"low","no","medium","no","no","no","no","service","no","both","no","both","no","platform","global","non-linear","no","yes","no","no","yes","no","no","yes","no","no","yes","online","b2b","no",0,0,39.28571429,0,0,60.71428571,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
